Designator,Mid X,Mid Y,Rotation,Layer
J1,160.9,-72.0,270.0,bottom
J10,97.5,-112.81,0.0,bottom
J2,77.0,-72.0,90.0,bottom
J3,164.0,-91.85,270.0,bottom
J4,74.0,-92.15,90.0,bottom
J5,164.0,-123.66,270.0,bottom
J6,74.0,-123.84,90.0,bottom
J7,153.93,-140.0,270.0,bottom
J8,83.73,-140.0,90.0,bottom
J9,83.0,-122.0,0.0,bottom
M1,119.0,-84.0,180.0,bottom
Q1,153.4375,-115.95,0.0,bottom
R1,148.0,-118.5,180.0,bottom
R2,148.0,-113.5,180.0,bottom
