Designator,Footprint,Quantity,Value,LCSC Part #
"C65, C66, C75, C85, C86, C96",0805,6,0.1 µF,
"D65, D66, D75, D85, D86, D96",D_SOD-123F,6,1N4148WL,
J1,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,
"LED65, LED66, LED75, LED85, LED86, LED96",LED_MX_6028R,6,MX_SK6812MINI-E,
"MX65, MX75",SW_Cherry_MX_PCB_2.00u_90deg,2,MX_SW_HS,
"MX66, MX85, MX86, MX96",SW_Cherry_MX_PCB_1.00u,4,MX_SW_HS,
